id,title,Sentence,pagerank
1840,"Epidemiology and Infection Geospatial and hot spot analysis of paediatric tuberculosis infection in Bohol, Philippines","Children were screened using TSTs, with an induration of ⩾10 mm indicating LTBI (as recommended by the American Thoracic Society and Centers for Disease Control and Prevention for use in high-risk settings not considered endemic for HIV [17] ) and were marked as a positive test result.",3.256714747581232
675,Under-reporting of TB cases and associated factors: a case study in China,"This is particularly hindersome in China where there are a high number of internal migrant workers, such hierarchical information systems make it difficult to trace the TB patients moving from one place to another especially as TB treatment regimens take many months to complete.",3.0704647158694587
1237,Preliminary Results on Pulmonary Tuberculosis Detection in Chest X-Ray Using Convolutional Neural Networks,"The same study also found that adding X-ray as a triage tool for HIV-negative and unknown HIV status cases combined with appropriate triage approaches could substantially save costs over using an automated molecular test without triage, while identifying approximately the same number of cases [10] .",3.0498902971018227
2197,BMC Infectious Diseases Sex-and age-dependent association of SLC11A1 polymorphisms with tuberculosis in Chinese: a case control study,"Among the controls, 236 samples were from hospital patients without active pulmonary TB who had negative acid-fast smear results and did not return for medical consultation for respiratory symptoms within the 3-year period of subject recruitment.",3.029739063409148
1698,"Evaluation of the tuberculosis programme in Ningxia Hui Autonomous region, the People's Republic of China: a retrospective case study","This dramatic reduction in prevalence not only in NHAR but across many parts of PRC could reflect, in part, a change in diagnostic practices for smear-negative patients based on chest X-ray (CXR) anomalies thus reducing the number of false-positive diagnoses.",2.9581045479763506
1010,Surveillance and outbreak report,"The purpose of the study was to estimate the risk of TB transmission associated with air travel, particularly using the IGRA positivity among children and young adult contacts as the outcome indicator.",2.9239751647206047
2236,BMC Infectious Diseases Sex-and age-dependent association of SLC11A1 polymorphisms with tuberculosis in Chinese: a case control study,"For the control subjects recruited in the present study, the majority were hospital patients who were tested negative for direct smears when first recruited and were not diagnosed to suffer from pulmonary TB within the 3-year period of subject recruitment.",2.9232781160472263
617,Under-reporting of TB cases and associated factors: a case study in China,"For example, Hospital A's HIS allows the diagnosis result section to be completed in narrative form, however the staff responsible for entering TB cases into the system may not fully understand the clinical narrative, depending on its complexity, which may lead to incorrect information being entered into NNDRS and TBIMS.",2.913313371618766
2674,Utilization of Chinese medicine for respiratory discomforts by patients with a medical history of tuberculosis in Taiwan,"To the best of our knowledge, this report describes the first nationwide population-based cohort study investigating CM utilization patterns among TB patients complicated with long-term respiratory discomforts.",2.880697913958125
1026,Surveillance and outbreak report,"Data collected included characteristics of the index case (age group, sex, smear test result, presence of cough at diagnosis and a brief description of chest X-ray shadow), the boarded flights (flight numbers, destinations and duration), outcomes of the contact investigation, particularly the number of the eligible contacts defined as those who were on two rows in front of and behind the index case, the number of contacts screened for TB, including the number of the contacts with IGRA, and how many were positive in the IGRA.",2.84472737942357
